answer,rt,expName,participant,contrast,language,item,experimentType,word,contrast_location,moras,prof
1,1.318588018,abx,l2_2,v,l2,49,presential ,seito,1,3,N2
1,1.652291059,abx,l2_2,a,l2,50,presential ,KUrasu,1,3,N2
1,1.368135929,abx,l2_2,s,l2,51,presential ,gamu,1,2,N2
1,1.335677147,abx,l2_2,v,l2,52,presential ,yuuri,1,3,N2
1,1.66918993,abx,l2_2,a,l2,53,presential ,Ame,1,2,N2
1,1.369397879,abx,l2_2,v,l2,54,presential ,yuri,1,2,N2
1,1.384031057,abx,l2_2,s,l2,55,presential ,kinkou,1,4,N2
1,1.368204117,abx,l2_2,a,l2,56,presential ,niHON,2,3,N2
1,1.335291147,abx,l2_2,a,l2,57,presential ,SAke,1,2,N2
1,1.351490021,abx,l2_2,s,l2,58,presential ,gantan,1,4,N2
1,1.302216053,abx,l2_2,a,l2,59,presential ,oKU,2,2,N2
1,1.335294962,abx,l2_2,a,l2,60,presential ,NIhon,1,3,N2
1,1.835581064,abx,l2_2,v,l2,61,presential ,sayuu,1,3,N2
1,1.336158991,abx,l2_2,a,l2,62,presential ,Ichi,1,2,N2
1,1.319329023,abx,l2_2,v,l2,63,presential ,ise,2,2,N2
1,1.334712982,abx,l2_2,s,l2,64,presential ,gakkou,1,4,N2
1,1.38678813,abx,l2_2,s,l2,65,presential ,gamu,1,2,N2
1,1.435303926,abx,l2_2,v,l2,66,presential ,seto,1,2,N2
1,1.334933043,abx,l2_2,v,l2,67,presential ,rubii,2,3,N2
1,1.33513999,abx,l2_2,a,l2,68,presential ,KAeru,1,3,N2
1,1.301653862,abx,l2_2,s,l2,69,presential ,kantan,1,4,N2
1,1.417695045,abx,l2_2,v,l2,70,presential ,kato,2,2,N2
1,1.351264954,abx,l2_2,s,l2,71,presential ,kamu,1,2,N2
1,1.419132948,abx,l2_2,a,l2,72,presential ,kuRASU,2,3,N2
1,0.4836061,abx,l2_2,s,l2,73,presential ,genkou,1,4,N2
1,1.702081919,abx,l2_2,a,l2,74,presential ,KUrasu,1,3,N2
1,1.368069172,abx,l2_2,v,l2,75,presential ,ise,2,2,N2
1,1.368482113,abx,l2_2,a,l2,76,presential ,NIhon,1,3,N2
1,1.352200985,abx,l2_2,s,l2,77,presential ,kankoku,1,4,N2
1,1.352872849,abx,l2_2,a,l2,78,presential ,kaMI,2,2,N2
1,1.434998035,abx,l2_2,s,l2,79,presential ,kaki,1,2,N2
1,1.335186958,abx,l2_2,v,l2,80,presential ,tousho,1,3,N2
1,1.351980925,abx,l2_2,v,l2,81,presential ,tosho,1,2,N2
1,1.43503809,abx,l2_2,a,l2,82,presential ,KAmi,1,2,N2
1,1.433898926,abx,l2_2,v,l2,83,presential ,seto,1,2,N2
1,1.401007891,abx,l2_2,s,l2,84,presential ,karasu,1,3,N2
1,1.319253922,abx,l2_2,v,l2,85,presential ,katou,2,3,N2
1,1.335290909,abx,l2_2,a,l2,86,presential ,HAshi,2,2,N2
1,1.468608856,abx,l2_2,v,l2,87,presential ,rika,2,2,N2
1,1.202795029,abx,l2_2,v,l2,88,presential ,rubii,2,3,N2
1,2.035353899,abx,l2_2,a,l2,89,presential ,Ishi,1,2,N2
1,1.335886955,abx,l2_2,v,l2,90,presential ,kado,1,2,N2
1,1.301748037,abx,l2_2,s,l2,91,presential ,kangoku,1,4,N2
1,1.584214926,abx,l2_2,s,l2,92,presential ,kakkou,1,4,N2
1,1.33521986,abx,l2_2,v,l2,93,presential ,rikaa,2,3,N2
1,1.334985018,abx,l2_2,s,l2,94,presential ,kankoku,1,4,N2
1,1.385133028,abx,l2_2,v,l2,95,presential ,sayuu,2,3,N2
1,1.719974041,abx,l2_2,a,l2,96,presential ,iSHI,2,2,N2
1,1.318997145,abx,l2_2,v,l2,97,presential ,isei,2,3,N2
1,1.667972088,abx,l2_2,a,l2,98,presential ,Ishi,1,2,N2
1,1.234568834,abx,l2_2,a,l2,99,presential ,SAke,1,2,N2
1,1.085186005,abx,l2_2,a,l2,100,presential ,Ame,2,2,N2
1,1.134824991,abx,l2_2,s,l2,101,presential ,kantan,1,4,N2
1,1.502052784,abx,l2_2,a,l2,102,presential ,KAeru,1,3,N2
1,1.284626961,abx,l2_2,v,l2,103,presential ,tousho,1,3,N2
1,1.319340944,abx,l2_2,s,l2,104,presential ,kaikoku,1,4,N2
1,1.784492016,abx,l2_2,a,l2,105,presential ,Ichi,1,2,N2
1,1.301864147,abx,l2_2,v,l2,106,presential ,isei,2,3,N2
1,1.034462214,abx,l2_2,a,l2,107,presential ,Oku,1,2,N2
1,1.418649912,abx,l2_2,v,l2,108,presential ,sayu,2,2,N2
1,1.484636068,abx,l2_2,v,l2,109,presential ,biru,1,2,N2
1,1.134547949,abx,l2_2,v,l2,110,presential ,tosho,1,3,N2
1,1.318001986,abx,l2_2,s,l2,111,presential ,gakkou,1,4,N2
1,1.218598127,abx,l2_2,s,l2,112,presential ,karasu,1,3,N2
1,1.701899052,abx,l2_2,a,l2,113,presential ,niHON,2,3,N2
1,1.184486151,abx,l2_2,v,l2,114,presential ,kaado,1,3,N2
1,1.135720015,abx,l2_2,s,l2,115,presential ,kaado,1,3,N2
1,1.251233101,abx,l2_2,s,l2,116,presential ,kinkou,1,4,N2
1,1.402569056,abx,l2_2,s,l2,117,presential ,kangoku,1,4,N2
1,1.285084963,abx,l2_2,a,l2,118,presential ,haSHI,2,2,N2
1,1.185163021,abx,l2_2,v,l2,119,presential ,katou,2,3,N2
1,1.301958084,abx,l2_2,v,l2,120,presential ,kado,1,2,N2
1,1.051501989,abx,l2_3,s,l2,1,presential ,gaki,1,2,N2
1,1.318483114,abx,l2_3,a,l2,2,presential ,oKU,2,2,N2
1,1.118247032,abx,l2_3,v,l2,3,presential ,rubi,2,2,N2
1,0.935408115,abx,l2_3,s,l2,4,presential ,kenkou,1,3,N2
1,1.085143805,abx,l2_3,v,l2,5,presential ,kato,1,2,N2
1,1.21876812,abx,l2_3,a,l2,6,presential ,kaERU,2,3,N2
1,1.301272869,abx,l2_3,v,l2,7,presential ,rubi,2,2,N2
1,1.151656866,abx,l2_3,s,l2,8,presential ,kakkou,1,4,N2
