data,model,phonol_emb,fixed_emb,emsize,nhid,nlayers,lr,anneal_factor,anneal_train,patience,clip,epochs,dropout,tied,seed,cuda,stress,log_interval,save_dir,summary,condition,run,feat_tree,alphabet,set_unset_nodes,random_reset,dropout:,epoch,train_loss,val_loss,val_ppl,epoch_time,current_lr,run_cond
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,8,2.0572,2.2290,9.29099258042952,152.47709965705872,0.0015625,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,9,2.0557,2.2289,9.28982748708594,153.05027842521667,0.0015625,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,10,2.0552,2.2288,9.288385720254817,152.38894152641296,0.000390625,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,11,2.0547,2.2282,9.282913030485197,152.10255694389343,0.000390625,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,12,2.0552,2.2284,9.285420946252357,151.87192940711975,0.000390625,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,13,2.0544,2.2283,9.284325171563916,154.32166194915771,9.765625e-05,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,14,2.0537,2.2282,9.283342404888414,154.06380915641785,2.44140625e-05,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,15,2.0538,2.2282,9.283028118583216,154.55964970588684,6.103515625e-06,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,16,2.0540,2.2282,9.28284442095177,153.94940280914307,1.52587890625e-06,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,17,2.0538,2.2282,9.282724908781956,156.38465809822083,3.814697265625e-07,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,18,2.0543,2.2282,9.282722695608138,149.68645763397217,9.5367431640625e-08,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,19,2.0543,2.2282,9.282722695608138,156.32691431045532,2.384185791015625e-08,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,20,2.0537,2.2282,9.282724908781956,153.89065790176392,5.960464477539063e-09,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,21,2.0538,2.2282,9.282724908781956,149.72018814086914,5.960464477539063e-09,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,22,2.0544,2.2282,9.282722695608138,150.47813081741333,5.960464477539063e-09,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,23,2.0539,2.2282,9.282720482434845,151.02504897117615,5.960464477539063e-09,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,24,2.0545,2.2282,9.282720482434845,157.98859095573425,5.960464477539063e-09,1-0
data/processed/,LSTM,True,False,68,512,2,0.1,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/1-0,results/grid_lr/summary_grid_lr.csv,1,0,Futrell,IPA,True,False,0.2,25,2.0536,2.2282,9.282722695608138,152.02518248558044,5.960464477539063e-09,1-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,1,2.2734,2.4557,11.654587981664292,153.36180305480957,0.5,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,2,2.1371,2.3132,10.106919239681602,147.70960760116577,0.5,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,3,2.0989,2.2850,9.825829968609264,150.46851682662964,0.5,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,4,2.0740,2.2384,9.37823555144767,151.64263105392456,0.5,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,5,2.0550,2.2321,9.319025361178346,152.100191116333,0.5,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,6,2.0367,2.2183,9.192032341874883,148.90081930160522,0.5,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,7,2.0211,2.1826,8.869224697039375,148.88688588142395,0.5,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,8,2.0060,2.1369,8.47314185119893,154.48848414421082,0.5,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,9,1.9912,2.1578,8.651939438028611,148.85215783119202,0.5,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,10,1.9213,2.1079,8.230860830901815,153.48768281936646,0.125,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,11,1.9001,2.1180,8.31467449392747,154.1150074005127,0.125,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,12,1.8732,2.1157,8.295216518978958,153.8124134540558,0.03125,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,13,1.8606,2.1118,8.263000647004993,153.0713083744049,0.0078125,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,14,1.8578,2.1072,8.225152256110585,155.40693259239197,0.001953125,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,15,1.8552,2.1049,8.206297034666381,154.63807201385498,0.001953125,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,16,1.8553,2.1044,8.202292987378865,154.2802767753601,0.001953125,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,17,1.8546,2.1029,8.190009424519054,153.0605046749115,0.001953125,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,18,1.8533,2.1023,8.184616028083147,154.95907974243164,0.001953125,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,19,1.8531,2.1022,8.184442358483095,150.76413679122925,0.001953125,2-0
